CD,CDDT,CDPREV,DESC,multi_fac
258686002,NA,NA,nanogram,0.000001
258685003,NA,NA,microgram,0.001
258684004,NA,NA,mg,1
258682000,NA,NA,gram,1000
258683005,NA,NA,kg,1000000
